Source,ID,OI,Name,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,score,gifs,nasa_url,educational_summary
TESS,8260536,5398.01,TOI-5398_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.003,https://detwet.com/gifs/tess/8260536.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5398_b,"A hot Jupiter-sized exoplanet (~11.6 Earth radii) orbiting a Sun-like star about 427 light-years away. With a 10.6-day orbit and a temperature near 920 K, it offers a clear example of inflated gas giants close to their stars, showing how stellar radiation can puff up planetary atmospheres."
KOI,12785320,K00298.01,Kepler-515 b,CONFIRMED,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,0.552,https://detwet.com/gifs/koi/12785320.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-515_b,"A small, likely rocky world (~1.5 Earth radii) with a ~20-day year. It’s a textbook transit case: shallow, periodic dips reveal its size and orbit—exactly the kind of signature TESS searches for on brighter stars to refine ephemerides and enable follow-up."
TESS,219016883,5238.01,TOI-5238_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.022,https://detwet.com/gifs/tess/219016883.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-5238_b,"A warm sub-Saturn (~5.2 Earth radii, ~23 Earth masses) orbiting every 4.9 days around a Sun-like star. Located roughly 950 light-years away, it bridges the gap between Neptune-sized and Jupiter-sized planets, useful for studying how gas giants form and retain atmospheres at intermediate masses."
KOI,12644822,K00791.01,Kepler-682 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.364,https://detwet.com/gifs/koi/12644822.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-682_b,"A warm Neptune/sub-Saturn (~7.4 Earth radii) orbiting every ~12.6 days. TESS finds many cousins of this size, letting us compare how stellar heating puffs up atmospheres and where the population sits between Neptune- and Saturn-like planets."
TESS,100389539,4791.01,TOI-4791_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.127,https://detwet.com/gifs/tess/100389539.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4791_b,"A massive hot Jupiter (~2.3 Jupiter masses) orbiting its host every 4.28 days, reaching ~1470 K. At over 1,000 light-years away, it’s a textbook example of tidal locking and atmospheric inflation, illustrating how intense stellar heat sculpts gas giant properties and orbital dynamics."
KOI,12404305,K00486.01,Kepler-573 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.958,https://detwet.com/gifs/koi/12404305.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-573_b,A mini-Neptune (~2.8 Earth radii) on a ~22-day orbit. Its modest transit depth shows how radius scales with dip size; TESS applies the same method around nearby stars so we can probe clouds and hazes with transmission spectroscopy.
TESS,437856897,4603.01,TOI-4603_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.214,https://detwet.com/gifs/tess/437856897.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4603_b,"A high-mass companion (~13 Jupiter masses) near the brown dwarf boundary. Its detection demonstrates the blurred line between giant planets and failed stars, showing why mass and formation process are key in classification. Ideal for teaching about the transition between planetary and stellar physics."
KOI,12400538,K01503.01,Kepler-867 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.855,https://detwet.com/gifs/koi/12400538.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-867_b,"A sub-Neptune (~4.6 Earth radii) with a long ~150-day period—harder to catch because transits are rare. TESS sometimes nails these when multiple sectors line up, highlighting the trade-off between sky coverage and dwell time."
TESS,232608943,4600.02,TOI-4600_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,0.714,https://detwet.com/gifs/tess/232608943.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4600_b,"A multi-planet system around a Sun-like star about 700 light-years away. With two confirmed planets, it shows how TESS uncovers system architecture beyond single hot worlds—excellent for comparing orbital spacing and long-period planet detection limits."
KOI,12206313,K02714.01,Kepler-401 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.784,https://detwet.com/gifs/koi/12206313.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-401_b,A super-Earth (~1.7 Earth radii) in a multi-planet system. Systems like this let TESS measure transit-timing variations (TTVs) to estimate masses without radial-velocity data and to study compact orbital architectures.
TESS,354944123,4342.02,TOI-4342_b,CONFIRMED,CONFIRMED,CONFIRMED,CANDIDATE,CANDIDATE,CONFIRMED,0.343,https://detwet.com/gifs/tess/354944123.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4342_b,"A nearby exoplanet system only ~200 light-years away, discovered by TESS. It serves as an example of how small telescopes in space can detect subtle dips in brightness from close-in transiting planets, even around relatively bright stars, useful for follow-up spectroscopy."
KOI,12120307,K02597.01,Kepler-394 b,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,0.67,https://detwet.com/gifs/koi/12120307.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-394_b,"A likely super-Earth (~1.6 Earth radii) with an ~8-day orbit, near the ‘radius valley’ where planets transition from rocky to volatile-rich. TESS populates this valley with bright-host examples for precise interior modeling."
TESS,256722647,4329.01,TOI-4329_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.054,https://detwet.com/gifs/tess/256722647.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4329_b,A recently confirmed TESS planet showcasing the mission’s ability to find hot worlds around moderately bright stars. It provides an entry point for studying how orbital period and host star type influence equilibrium temperature and detectability.
KOI,12068975,K00623.03,Kepler-197 b,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,0.823,https://detwet.com/gifs/koi/12068975.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-197_b,"A small world (~1.26 Earth radii) with a ~10.35-day period in a four-planet system. TESS excels at untangling multiple shallow dips, building complete system maps and enabling dynamics studies."
TESS,257060897,4138.01,TOI-4138_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.022,https://detwet.com/gifs/tess/257060897.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4138_b,A 2021 TESS discovery that highlights early mission successes in detecting short-period transiting planets. It underscores how consistent monitoring across multiple sectors allows validation of small periodic dips caused by exoplanet transits.
KOI,12061969,K02061.02,Kepler-2001 b,CONFIRMED,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.432,https://detwet.com/gifs/koi/12061969.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-2001_b,"An ultra-short-period super-Earth (~1.19 Earth radii) circling in ~1.09 days. TESS is especially sensitive to these frequent transits, which are prime targets for phase-curve and heat-redistribution studies."
TESS,289661991,3807.01,TOI-3807_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.027,https://detwet.com/gifs/tess/289661991.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3807_b,"A newly confirmed TESS planet from 2023, representing ongoing catalog expansion as detection algorithms improve. It helps illustrate the continuous refinement of exoplanet demographics and the increasing detection of warm-to-temperate gas giants."
KOI,12058931,K00546.02,Kepler-182 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.779,https://detwet.com/gifs/koi/12058931.gif,https://eyes.nasa.gov/apps/exo/#/planet/Kepler-182_b,A mini-Neptune (~3.5 Earth radii) on a ~20.7-day orbit. Worlds like this help test atmospheric mass-loss theories (photoevaporation vs. core-powered loss) using TESS’s large comparative samples.
TESS,17865622,3540.01,TOI-3540_b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.116,https://detwet.com/gifs/tess/17865622.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3540_b,"A 2022 TESS find demonstrating how moderate-size planets can orbit relatively bright stars, enabling high-quality light curves. It’s a prime teaching case for how host star brightness affects the precision of transit and radial velocity data."
